repo_name,has_issue_commit,related_lb,related_ub,curr_total
cw-advandroid,1,0,0,0
UltimateRecyclerView,5,0,0,0
wire-android,18,14,14,419
android-ripple-background,0,0,0,0
android-percent-support-lib-sample,0,0,0,0
k-9,202,682,682,1744
CircleDemo,0,0,0,1
otto,6,0,0,51
PictureSelector,0,0,0,0
RxBinding,6,0,0,106
Timber,14,0,0,0
Douya,26,0,0,0
alluxio,3608,1999,2050,3978
pinot,150,96,96,2662
scissors,6,0,0,3
Toasty,4,0,0,4
javacpp,300,7,7,71
distributedlog,43,0,0,621
RxJava2-Android-Samples,0,0,0,1
assertj-android,7,0,0,0
moshi,42,0,0,839
SlantedTextView,0,0,0,2
kafka,3668,5212,5212,13053
aurora-imui,12,0,0,9
device-year-class,1,0,0,13
android-zxingLibrary,0,0,0,4
google-java-format,125,26,26,247
http-kit,137,0,3,22
jmeter,685,183,183,1357
wildfly,30,6,8,4889
richeditor-android,2,0,0,1
junit4,287,1530,1597,1482
lottie-android,325,86,86,204
CameraFragment,7,0,0,0
StickyHeaderListView,0,0,0,0
robotium,9,0,0,0
DiscreteScrollView,26,44,44,65
FizzBuzzEnterpriseEdition,7,0,0,1
feign,128,135,135,935
android-iconify,35,6,6,0
eureka,82,74,74,369
ShowcaseView,22,0,0,0
AndroidRubberIndicator,2,0,0,0
graphql-java,208,0,0,2
android-priority-jobqueue,52,100,100,262
Taurus,0,0,0,0
android-shapeLoadingView,6,0,0,0
ViewServer,0,0,0,0
Activiti,261,12036,12754,945
android-auto-scroll-view-pager,1,0,0,0
