,execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,p_object_pool,seed_clone,seed_mutations
7530,4,math,MATH-32b,32b,java.lang.ClassCastException,6,62328,0.7692307692307692,19200.0,"[4.5,100][3.0,200][0.7692307692307692,1800]",0.3,0.2,3
7531,4,math,MATH-32b,32b,java.lang.ClassCastException,7,62328,0.7857142857142857,11300.0,"[5.863636363636363,100][4.8,200][3.0,300][0.7857142857142857,700]",0.3,0.2,3
7532,4,math,MATH-32b,32b,java.lang.ClassCastException,8,62328,,,,0.3,0.2,3
7533,4,math,MATH-32b,32b,java.lang.ClassCastException,9,62328,0.2857142857142857,21600.0,"[3.0,100][0.8695652173913043,2200][0.8651685393258427,3200][0.781021897810219,3600][0.28571428571428575,6100]",0.3,0.2,3
7534,4,math,MATH-32b,32b,java.lang.ClassCastException,10,62328,0.84,19000.0,"[3.0,100][0.8800000000000001,300][0.8571428571428571,500][0.84,2200]",0.3,0.2,3
7535,5,math,MATH-32b,32b,java.lang.ClassCastException,3,62328,,,,0.3,0.2,3
7536,5,math,MATH-32b,32b,java.lang.ClassCastException,4,62328,,,,0.3,0.2,3
7537,5,math,MATH-32b,32b,java.lang.ClassCastException,5,62328,0.75,10200.0,"[5.863636363636363,100][4.8,200][4.2,400][3.0,800][0.75,2400]",0.3,0.2,3
7538,5,math,MATH-32b,32b,java.lang.ClassCastException,6,62328,,,,0.3,0.2,3
7539,5,math,MATH-32b,32b,java.lang.ClassCastException,7,62328,0.7857142857142857,9100.0,"[5.863636363636363,100][4.8,200][3.0,600][0.7857142857142857,1600]",0.3,0.2,3
7540,5,math,MATH-32b,32b,java.lang.ClassCastException,8,62328,3.0,11900.0,"[4.5,100][4.2,1200][3.0,6300]",0.3,0.2,3
7541,5,math,MATH-32b,32b,java.lang.ClassCastException,9,62328,0.781021897810219,16800.0,"[3.0,100][0.8695652173913043,1200][0.781021897810219,4900]",0.3,0.2,3
7542,5,math,MATH-32b,32b,java.lang.ClassCastException,10,62328,0.84,13700.0,"[3.0,100][0.8800000000000001,1500][0.8571428571428571,3500][0.84,6700]",0.3,0.2,3
