,application,case,version,execution_idx,exception_name,exception_kind,frame_level,all_frames_count,project_frames_count,test_case_path,log_path,err_path,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,line_fitness_value,line_fitness_time_msec,line_fitness_number_of_eval,exception_fitness_value,exception_fitness_time_msec,exception_fitness_number_of_eval,stacktrace_similarity_value,stacktrace_similarity_fitness_msec,stacktrace_similarity_number_of_eval,fitness_function_value,fitness_function_time_msec,fitness_function_number_of_tries,execution_time,total_number_of_eval,fitness_function_evolution
20,math,MATH-8b,8b,2,java.lang.ArrayStoreException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-8b/frame-1/2,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R2_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R2_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,7992.0,652.0,0.0,10574.0,1130.0,0.0,10574.0,1130.0,0.0,10574.0,1130.0,10.0,1151.0,(5.75;101;1113)(4.999845869297165;626;7264)(3.0;731;7992)(0.0;1151;10574)
21,math,MATH-8b,8b,10,java.lang.ArrayStoreException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-8b/frame-1/10,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R10_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R10_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,,,,,,,,,,,,,,,
22,math,MATH-90b,90b,1,java.lang.IllegalArgumentException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-90b/frame-1/1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R1_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R1_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1343.0,6.0,0.0,1343.0,6.0,0.0,1343.0,6.0,0.0,1343.0,6.0,2.0,101.0,(0.0;101;1343)
23,math,MATH-90b,90b,2,java.lang.IllegalArgumentException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-90b/frame-1/2,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R2_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R2_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1394.0,2.0,0.0,1394.0,2.0,0.0,1394.0,2.0,0.0,1394.0,2.0,2.0,101.0,(0.0;101;1394)
24,math,MATH-8b,8b,9,java.lang.ArrayStoreException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-8b/frame-1/9,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R9_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R9_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,13813.0,2907.0,0.0,17104.0,3631.0,0.0,17104.0,3631.0,0.0,17105.0,3631.0,17.0,3671.0,(5.75;101;1393)(4.999999999405967;2516;12685)(4.999441340782123;2621;13001)(3.0;2936;13813)(0.0;3671;17105)
25,math,MATH-90b,90b,3,java.lang.IllegalArgumentException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-90b/frame-1/3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R3_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R3_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,565.0,1.0,0.0,566.0,1.0,0.0,566.0,1.0,0.0,566.0,1.0,2.0,101.0,(0.0;101;566)
26,math,MATH-90b,90b,4,java.lang.IllegalArgumentException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-90b/frame-1/4,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R4_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R4_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1420.0,11.0,0.0,1420.0,11.0,0.0,1420.0,11.0,0.0,1420.0,11.0,2.0,101.0,(0.0;101;1420)
27,math,MATH-90b,90b,5,java.lang.IllegalArgumentException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-90b/frame-1/5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R5_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R5_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1409.0,4.0,0.0,1409.0,4.0,0.0,1409.0,4.0,0.0,1409.0,4.0,2.0,101.0,(0.0;101;1409)
28,math,MATH-90b,90b,6,java.lang.IllegalArgumentException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-90b/frame-1/6,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R6_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R6_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1377.0,2.0,0.0,1378.0,2.0,0.0,1378.0,2.0,0.0,1378.0,2.0,2.0,101.0,(0.0;101;1378)
29,math,MATH-90b,90b,7,java.lang.IllegalArgumentException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-90b/frame-1/7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R7_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-90b/frame-1/R7_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1356.0,2.0,0.0,1356.0,2.0,0.0,1356.0,2.0,0.0,1356.0,2.0,2.0,101.0,(0.0;101;1356)
